1.7796610169,1.8813559322,3,2.593220339,2.3333333333,2,2.3684210526,2.9642857143,0.4310344828,0.6896551724,0.1964285714,2.9636363636,0,0.3090909091,4.7894736842,0.5384615385,0.2711864407,0.1929824561,0.2909090909,0.1636363636,0.1803278689,0.1754385965,0.2545454545,0.2037037037,0.35,0.2931034483,1.3333333333,0.3703703704,1.3148148148,0.1481481481,1.6779661017,0.9344262295,1.6271186441,0.9137931034,0.5892857143,0.6551724138,0.1929824561,0.3389830508,0.2333333333,0.1886792453,0.0862068966,0.0333333333,0.1454545455,0.3703703704
2.4237288136,4.2711864407,4.0545454545,4.3898305085,4.1403508772,3.7894736842,4.5614035088,4.1607142857,0.224137931,0.1034482759,0.5,0.1090909091,0.5892857143,0.2181818182,0.7368421053,1.0961538462,3.7796610169,3.701754386,2.9636363636,3.3454545455,3.5901639344,3.5263157895,2.8545454545,3.0925925926,1.55,2.1034482759,2.6481481481,2.462962963,0.8333333333,2.3888888889,3.9491525424,3.7868852459,4,4.2586206897,3.5714285714,3.7586206897,0.9473684211,0.1355932203,1.7166666667,3.8867924528,1.1551724138,1.1833333333,2.9454545455,1.4259259259
4.8983050847,5,5,4.9661016949,5,5,5,5,0,0.0344827586,0.0535714286,0,0,0,0,0,0,0.0175438596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172413793,0,0,0,0,0,0.0166666667,0,0
4.9491525424,4.9491525424,4.9272727273,4.9491525424,4.9824561404,5,4.8596491228,4.9821428571,0.1724137931,0.2068965517,0.8571428571,0.2181818182,0.6428571429,0.0727272727,0.1403508772,0.1153846154,0.0508474576,0.0175438596,0.0181818182,0.0181818182,0.0163934426,0,0,0,0.0333333333,0.0517241379,0,0,0.0185185185,0,0,0.0163934426,0.0169491525,0,0.0178571429,0,0.0175438596,0.3050847458,0,0,0,0.0166666667,0,0.2407407407
3.5084745763,4.9830508475,4.8363636364,4.9491525424,5,3.8421052632,5,4.9818181818,0,0,0,0,0.0357142857,0,0,0,0,0.0350877193,0.0181818182,0,0,0,0,0,0.0166666667,0,0,0,0,0,0,0,0.0169491525,0.0172413793,0,0,0,0,0,0.0188679245,0,0,0,0
3.7966101695,4.406779661,4.3636363636,4.3220338983,4.4210526316,4.2105263158,4.5,4.3035714286,0.0172413793,0.0862068966,0.4464285714,0,0.2678571429,0.0363636364,0,0.0576923077,0.0338983051,0.0701754386,0,0,0.0327868852,0,0,0,0.0333333333,0,0,0,0,0,0.1186440678,0.0163934426,0.1016949153,0.1034482759,0.0357142857,0.0862068966,0,0,0,0,0,0,0,0
4.8644067797,5,4.8909090909,4.9830508475,5,4.9649122807,5,4.9090909091,0,0,0.0535714286,0,0,0,0,0,0.0338983051,0.7192982456,1.6909090909,0.0181818182,2.7213114754,0,0,0,0.0333333333,0.0172413793,0,0,0,0,0.0338983051,0,0.0677966102,0.7413793103,0.0357142857,2.1551724138,0,0.0169491525,0.0333333333,0.4150943396,0,0.9333333333,0.0545454545,0
3.6949152542,4.9491525424,4.8181818182,4.6440677966,4.8947368421,4.1578947368,4.9473684211,4.8035714286,0.0862068966,0.0172413793,0.0357142857,0,0,0,0,0,0,0,0,0,0,0,0,0.2037037037,0.05,0.0172413793,0,0,0.1111111111,0,0.1355932203,0.2295081967,0.2372881356,0.6034482759,0.0535714286,0.0344827586,0.0175438596,0,0.0166666667,0.1132075472,0.1206896552,0,0,0
4.9830508475,4.9830508475,4.9090909091,4.9152542373,5,4.9122807018,5,4.9818181818,0.0344827586,0,0,0,0.0357142857,0.0181818182,0,0,0.0169491525,0.0350877193,0,0.0181818182,0.0163934426,0,0,0,0.0166666667,0.0689655172,0.0925925926,0,0.037037037,0,0.1186440678,0.1803278689,0.2372881356,0.1034482759,0.0892857143,0.1206896552,0.0344827586,0.0169491525,0,0,0,0,0.0545454545,0
3.2033898305,4.9491525424,4.6,4.9491525424,4.701754386,4.5438596491,4.9473684211,4.5818181818,0,0,0.0357142857,0,0,0,0,0.0192307692,0,0,0,0,0,0,0,0.0740740741,0.0166666667,0.0172413793,0.037037037,0,0,0,0.0338983051,0.0161290323,0.0338983051,0,0.0178571429,0,0.1403508772,0,0,0,0,0,0,1.3333333333
